company_id,company_name
1,CÔNG TY CỔ PHẦN ĐẦU TƯ TÂN HOA LƯ
2,The Ascott Limited
3,Sea Stars Group
4,CÔNG TY CỔ PHẦN DU LỊCH DỊCH VỤ SAO HẠ LONG
5,Geleximco Group
6,CÔNG TY TNHH VINH QUANG HẠ LONG
7,CÔNG TY CỔ PHẦN ĐẦU TƯ MINH ĐĂNG
8,Boss Hotel Nha Trang
9,CÔNG TY CỔ PHẦN TẬP ĐOÀN MƯỜNG THANH
10,CÔNG TY TNHH LIÊN DOANH HẠ LONG PLAZA
11,CTY TNHH VẬN TẢI THƯƠNG MẠI DỊCH VỤ AN BẢO KHANH
12,CÔNG TY CỔ PHẦN DU LỊCH SÀI GÒN - PHÚ YÊN
13,Tập đoàn Mường Thanh
14,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN DU LỊCH – DỊCH VỤ QUY NHƠN
15,CÔNG TY CỔ PHẦN XÂY DỰNG DU LỊCH THƯƠNG MẠI BẠCH LONG
16,CÔNG TY CỔ PHẦN MINASI WORLD
17,HANOI STARLIGHT HOTEL
18,CÔNG TY CỔ PHẦN LƯƠNG THỰC HỒNG HÀ - KHÁCH SẠN AFFA BOUTIQUE
19,HANOI ANCIENT PARADISE HOTEL
20,Melia Hotels International
21,H HOTEL HANOI
22,Công ty Cổ phần Địa ốc Alpha Nam Đà Nẵng
23,CÔNG TY CỔ PHẦN LIBRA NHA TRANG
24,Bonjour Nha Trang Hotel
25,Sala Hotel Group
26,Công ty TNHH TV Thương mại Quảng Nam  – Đà Nẵng – KS Grand Tourane
27,Phú Yên Everyday Hotel 
28,Hùng Vương Hotel Tuy Hoà
29,Công Ty TNHH DV và Du lịch Phố Xanh
30,Aaron Hotel Nha Trang
31,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NANO
32,CÔNG TY TNHH HÒA BÌNH – CHI NHÁNH ĐÀ NẴNG
33,Khách sạn Mường Thanh Luxury Đà Nẵng – Chi nhánh  Công ty cổ phần tập đoàn Mường Thanh
34, Yarra Ocean Suites Danang © 2023  Công Ty Cổ Phần Thương Mại Và Dịch Vụ Du Lịch Hùng Bảo Anh
35,Khách sạn The LEAF Da Nang Boutique
36,The Yacht Hạ Long by DC
37,Nha Trang Horizon Hotel
38,Công ty Cổ phần Đầu tư Thương mại và Xuất nhập khẩu Hải An tại Thành phố Đà Nẵng
39,CÔNG TY TNHH TM& DV DU LỊCH HOÀNG HIẾN
40,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ KINH DOANH NHÀ VIỆT BEACH
41,CÔNG TY CỔ PHẦN DU LỊCH VÀ THƯƠNG MẠI HOA PHƯỢNG
42,CÔNG TY CỔ PHẦN DỊCH VỤ VÀ DU LỊCH CÁT LÂM
43,Công ty Cổ phần Đầu tư Châu Á - Thái Bình Dương
44,Công Ty TNHH Logistics Kỷ Nguyên Mới
45,Công ty TNHH PHÚ HẢI
46,CHI NHÁNH CÔNG TY TNHH KINH DOANH THƯƠNG MẠI DUNG NAM TẠI ĐÀ NẴNG - KHÁCH SẠN DYLAN
47,Công ty Cổ phần Khách sạn và Dịch vụ Đại Dương (Ocean Hospitality – OCH) 
48,CÔNG TY TNHH DU LỊCH VÀ KHÁCH SẠN PHƯƠNG LINH KHÁCH SẠN GREENERY ĐÀ NẴNG
49,Grand Mercure Danang
50,CÔNG TY TNHH ĐẦU TƯ MNB VIỆT NAM
51,Khách sạn Paris Deli Đà Nẵng Beach Hotel
52,Vesna Hotel Nha Trang
53,CÔNG TY TNHH THƯƠNG MẠI – DU LỊCH THÁI MINH
54,Công ty Cổ phần Du Lịch & Thương Mại Công Thắng
55,CÔNG TY CỔ PHẦN ĐẦU TƯ GEDOSICO
56,CÔNG TY CỔ PHẦN BĐS CĂN HỘ KS TOKYO GRAND
57,CÔNG TY TNHH KHÁCH SẠN SUN KISS
58,Saphia Hotel Nha Trang
59,CÔNG TY TNHH SAO VIỆT NON NƯỚC
60,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ DỊCH VỤ KHÁCH SẠN THÁI BÌNH DƯƠNG
61,Venue Hotel Nha Trang
62,Khách sạn Lavencos
63,CÔNG TY TNHH MTV SAO HÔM NHA TRANG
64,M Group Đà Nẵng
65,CÔNG TY TNHH ATD –KHÁCH SẠN PRIME NHA TRANG
66,LOTTE HOTEL VIETNAM
67,CÔNG TY TNHH ĐỨC ĐỊNH
68,Melia Vinpearl Hotels & Resort 
69,Khách sạn HAIAN Riverfront Đà Nẵng
70,Marriott International
71,Melia Hotels Internationl & Vinpearl
72,CÔNG TY CỔ PHẦN BÁN ĐẢO KÊNH GÀ
73,CÔNG TY TNHH TIẾN HUYỀN
74,CÔNG TY TNHH THÊU REN MẶT TRỜI XANH
75,Melissa Nha Trang Hotel
76,Masova Hotel Nha Trang
77,Sunflower Hotel Tuy Hòa 
78,CÔNG TY CỔ PHẦN XÂY DỰNG DỊCH VỤ VÀ THƯƠNG MẠI MỘC MIÊN
79,M Group
80,ELI RINA HOTEL
81,CÔNG TY TNHH BINITIS
82,Angel Hotels Beach Đà Nẵng
83,Scenic Mountain Ecolodge Ninh Binh
84,Leaf Hotel Phú Quốc
85,Melia Hotels Internationl
86,Vinpearl Join Stock Company - Vingroup JSC
87,Nhà Khách Quốc Hội tại Đà Nẵng
88,Tahiti Central Hotel Phú Quốc
89,The Tahiti Beach Hotel Phú Quốc
90,Tahiti Resort Phú Quốc
91,CÔNG TY CỔ PHẦN DU LỊCH HOÀNG CƯỜNG
92,CROWNE PLAZA
93,G8 Luxury Hotel and Spa Đà Nẵng
94,Công Ty Cổ Phần Tổng Hợp Sao Biển
95,AMARIN RESORT & SPA
96, Sunset Beach Resort & Spa
97,Khách sạn Mandila Beach Đà Nẵng.
98,Rock Mila Phú Quốc Hotel
99,L'Azure Resort & Spa Phú Quốc
100,Công Ty TNHH Thương Mại Dịch Vụ và Du Lịch Lý Bằng
101,ok
102,CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN OCEAN HOUSE  PHÚ QUỐC
103,Tập đoàn Khách sạn Mikazuki 
104,Lady Hill Sapa Resort
105,Công ty TNHH Khách sạn và Biệt thự Nam Phát
106,SANTA RESORT
107,CÔNG TY CP QUẢN LÝ DỊCH VỤ CAO CẤP ĐỒI NGỌC SA PA
108,CTX Holdings
109,CÔNG TY CỔ PHẦN KK SAPA
110,SILK PATH HOTELS & RESORTS
111,Công ty TNHH Ha Na Station Phú Quốc
112,Tập đoàn CEO
113,VINACAPITAL DANANG RESORT LIMITED
114,BAUHINIA RESORT  PHU QUOC
115,CÔNG TY CỔ PHẦN KHU DU LỊCH BẮC MỸ AN
116,KHÁCH SẠN DELASOL PHAT LINH SAPA
117,CHI NHÁNH CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG ĐỨC TUẤN-KS PISTACHIO
118,Sapa Cat Cat Hills Resort & Spa   
119,CÔNG TY TNHH QUÊ VIỆT - QUẢNG NAM
120,CÔNG TY TNHH MTV DỊCH VỤ DU LỊCH ĐẠI DƯƠNG XANH
121,Amazing Hotel Sapa
122,Bamboo Hotel Sapa
123,My Gallery Boutique Sapa Hotel
124,Công ty TNHH Tuấn Tú
125,Mường Thanh Sapa
126,Sapa Nature View Hotel
127,My Boutique Sapa Hotel
128,ELEGANT BOUTIQUE HOTEL
129,Sun Hạ Long
130,Essence Hotel Hạ Long
131,KL Hotel Hạ Long
132,Silk Path Grand Huế Resort & spa
133,Vinpearl Hue
134,CÔNG TY TNHH THIÊN THANH -THIÊN THANH PHÚ QUỐC RESORT
135,CÔNG TY TNHH MỘT THÀNH VIÊN HOA TRÀ PHÚ QUỐC
136,CÔNG TY TNHH MTV PHỤNG LÂN AN - BRENTA PHU QUOC HOTEL
137,Aquasun Hotel Phú Quốc
138,Century Riverside Hue
139,Eldora Hotel Hue
140,EMM HOTEL HUE
141,Jasmine Huế
142, Baly Hotel & Spa Hue
143,CÔNG TY CỔ PHẦN ĐẦU TƯ DU LỊCH QUÝ HẢI PHÚ QUÔC
144,Nesta Hotel Group
145,CÔNG TY TNHH AN PHÚ (AN PHÚ HOTEL)
146,La Vela Huế Hotel
147,CÔNG TY CỔ PHẦN VƯỜN XƯA
148,Công Ty TNHH Khách Sạn Thuỳ Anh Ninh Bình Legend
149,The Reed Hotel Ninh Bình
150,Lalita Boutique Hotel & Spa Ninh Bình
151,CÔNG TY TNHH AVS VIET NAM PHU QUOC - AVS HOTEL PHU QUOC
152,CÔNG TY TNHH PHƯƠNG ANH ĐỨC - FAMIANA RESORT & SPA PHU QUOC
153,CÔNG TY TNHH CAROLE
154,Mường Thanh Hospitality
155,GAIA HOTEL PHU QUOC
156, SHG - SHINING HOSPITALITY GROUP 
157,EMM HOTEL HỘI AN
158,Công ty TNHH Thương Mại Tổng Hợp Thanh Thảo (Le Mint Hotel)
159,Mento Hotel Quy Nhơn
160,CÔNG TY TNHH DỊCH VỤ - KHÁCH SẠN CANARY
161,Citadines Pearl Hội An
162,HOI AN BABYLON LUXURY HOTEL & SPA
163,CÔNG TY TNHH ĐẦU TƯ MINH LONG HỘI AN
164,CÔNG TY TNHH ĐẦU TƯ HUY TẦM
165,L’amor Boutique Hotel 
166,CÔNG TY CỔ PHẦN ĐỊA ỐC NAM VIỆT
167, Little Gem. An Eco-Friendly Boutique Hotel & Spa
168,CÔNG TY TNHH DU LỊCH VÀ THƯƠNG MẠI ANH-MẠNH LA CHARM HOI AN HOTEL & SPA
169,Lucky Sun Hotel Nha Trang
170,CÔNG TY CỔ PHẦN MIỀN NHIỆT ĐỚI
171,Phú Vân Resort & Spa
172,CÔNG TY TNHH XÚC TIẾN DU LỊCH AN BÌNH
173,Le Sands Oceanfront Đà Nẵng Hotel 
174,Bel - Air Hotel Quy Nhơn
175,Marriott International & Vinpearl
176,CHI NHÁNH CÔNG TY TNHH ĐẦU TƯ & DỊCH VỤ DU LỊCH PHÚC LONG
177,CÔNG TY TNHH MTV HƯNG PHÚ QUỐC
178,CÔNG TY TNHH DỊCH VỤ VÀ DU LỊCH HƯƠNG VIỆT
179,CÔNG TY TNHH PHƯƠNG ANH ĐỨC - FAMIANA GREEN VILLA
180,ODIN HOTEL QUY NHON
181,KHÁCH SẠN HẢI ÂU
182,AURORA QUY NHƠN
183,Malibu Vũng Tàu Hotel
184,Accor Group
185, Oyster Bay Hotel Vũmg Tàu
186,CTY TNHH SERENITY HOLDING VIET NAM
187, Ibis Styles Vũng Tàu Hotel
188,GRAND GOSIA HOTEL
189,Marina Bay Vũng Tàu Resort & Spa
190,BB Group
191,CÔNG TY TNHH DU LỊCH DỊCH VỤ TAM ĐẢO
192,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DU LỊCH KIM SA
193,CÔNG TY CỔ PHẦN DU LỊCH THÀNH THÀNH CÔNG
194,Best Western Premier Sapphire Halong
195,The Grand Ho Tram 
196,Đà Lạt Palace Heritage 
197,Du Parc Hotel Đà Lạt
198,MerPerle Đà Lạt Hotel
199,Roy Dala Hotel Đà Lạt
200,Akoya Saigon Central Hotel 
201," 282 Võ Nguyên Giáp, Ngũ Hành Sơn, Đà Nẵng , Da Nang, "
202,Cap Town Hotel Sài Gòn
203, Nikko Sài Gòn Hotel
204,Mia Saigon Luxury Boutique Hotel
205,Somerset Hồ Chí Minh Hotel
206,An Lâm Retreats Saigon River
207,Eden Huế Hotel
208,TTC Imperial Hotel Huế 
209,Melia Vinpearl Hotel Huế 
210,Mường Thanh Grand Gia Lai
211,Golden Boutique Hotel Măng Đen 
212,Stella Maris Beach Đà Nẵng
213,Ninh Bình Hidden Charm Hotel & Resort
214,Ninh Bình Legend Hotel
215,Công ty cổ phần Heritage Cruises
216,Tập đoàn du lịch Hương Hải
217,Công ty CPTM Du lịch HMT
218,Tập đoàn Pelican 
219,Công ty cổ phần du thuyền quốc tế Hạ Long
220,Paradise Group
221,Công ty  Du Lịch Châu Á Thái Bình Dương
222,Công ty TNHH THD travel Việt Nam
223,Tập đoàn Paradise
224,Công ty cổ phần du thuyền Genesis Việt Nam
225,Công ty cổ phần thương mại và dịch vụ Sư Tư châu Á
226,CÔNG TY CỔ PHẦN DU THUYỀNHERMES
227,Công ty du thuyền Aclass
228,Công ty cổ phần đầu tư du lịch Renea
229,Công ty Cổ phần đầu tư Việt Star Cruise
230,Tập đoàn Pelican
231,Công ty TNHH Scarlet Pearl Hạ Long
232,Pelican Group
233,Công ty cổ phần đầu tư du lịch Thiên Nga
234,Big Bay Group
235,Erina Group
236,Công ty cổ phần du lịch Quốc Tế Athena Cruise
237,Công ty du thuyền Doris
238,Công ty TNHH du thuyền La Casta
239,Công ty TNHH Sen Hoàng Gia
240,Công ty TNHH vận tải Alisa
241,Công ty CPTM & ĐT Du Thuyền Quốc Tế
242,Công ty Cổ phần tập đoàn HALO ECO
243,Công ty TNHH du thuyền Rosa
244,Công ty TNHH MTV Dịch Vụ Du Lịch VIT Hạ Long
245,Công ty du thuyền Sea Stars Hạ Long
246,Elegance Hospitality Group
247,SEALIFE GROUP 
248,M’GLORIA GROUP
249,Công ty du thuyền Verdure Lotus
250,Công ty du thuyên Verdure Lotus
251,Công ty TNHH du thuyền Bhaya
252,Du thuyền Iris
253,Công ty Saquila Hospitality 
254,Công ty cổ phần những cánh buồm Phương Đông
255,Bigbay Group
256,APC Group
257,CÔNG TY CỔ PHẦN HẠ LONG PACIFIC
258,HƯƠNG HẢI GROUP
259,"Công ty TNHH Thương mại, Dịch vụ, Du lịch Minh Loan"
260,Vedure Lotus Cruise
